universe,quality,pullback,trigger,hold,exit,n,wr,exp,avg_w,avg_l,score
small,rs_pos,dn5,green,20,time,4520,0.5464601769911505,0.0376959887218477,0.16983882526392352,-0.12152001433128758,2.534336954125055
mid,none,dn15,gapup,2,trail5,766,0.4516971279373368,0.0915672257224321,0.2440348727175946,-0.034037073945011334,2.5342790945555245
mid,none,dn15,gapup,20,trail5,777,0.4118404118404118,0.09081356440863887,0.27038222425143676,-0.03492379040469885,2.531402655530675
mid,none,dn10,volexp,2,trail5,2037,0.4845360824742268,0.05608111055783921,0.15321381330975586,-0.03522363002896247,2.5311164114621416
mid,none,dn10,green,10,target10,7331,0.6846269267494203,0.02947065524200789,0.08210497311946399,-0.08479043534058386,2.523314606624229
small,above21,dn5,green,5,time,3129,0.5944391179290508,0.045109061487168346,0.12465043767870432,-0.07147640716236425,2.5232865519009247
mid,none,dn8,green,5,target15,9488,0.625,0.025848658915144623,0.07563430735802164,-0.057127421822983755,2.517823912676694
mid,none,dn15,immed,10,time,7478,0.4950521529820808,0.029090267353306398,0.1745282948185393,-0.1134975445313049,2.51559337925433
mid,none,vwap,green,20,target15,12163,0.6189262517471019,0.022736771105373612,0.08097021360023077,-0.07184388803190467,2.507547352993843
mid,none,dn5,volexp,10,time,3753,0.5137223554489742,0.04067201195020771,0.16613827887244143,-0.09187536483119862,2.491637959848928
small,above50+rs,dn5,green,10,time,2460,0.5670731707317073,0.05022657044340391,0.1666352082335536,-0.10225234947890482,2.4911568820781422
mid,none,dn10,immed,10,time,14118,0.5048165462530103,0.02092435920583861,0.13813047437252055,-0.09856183487125222,2.486215419832748
mid,none,dn10,gapup,10,time,1634,0.5471236230110159,0.06142175873722456,0.188633841900043,-0.09226419038109933,2.482837372317169
mid,none,dn5,green,2,target10,15090,0.6805168986083499,0.02020817612493913,0.04479562096711948,-0.032164458408217904,2.4823998607909825
mid,above50,dn15,volexp,10,time,50,0.5,0.3495045541169777,0.8932768272602304,-0.19426771902627527,2.471370402716956
mid,rs_pos,dn5,green,20,time,4616,0.5691074523396881,0.03629989453646645,0.14316444389666397,-0.10484297684072756,2.466256616198573
small,none,dn15,immed,20,time,9907,0.4499848591904714,0.024576451061927178,0.26115926261992445,-0.16897946267005148,2.4461903619589136
mid,above21,dn5,green,20,time,2604,0.5299539170506913,0.047419598823966756,0.19483194997497638,-0.11878060100315192,2.4197938321761985
mid,none,dn8,green,2,target15,9493,0.6762877910038976,0.024770708639250707,0.053402108923768295,-0.03504497304854718,2.413460367525379
small,above21,dn5,green,2,trail5,3204,0.6969413233458177,0.04251142217339052,0.07024194895021048,-0.021260221794311807,2.406311728083953
small,above21,dn8,green,20,time,1371,0.487964989059081,0.06477459513230938,0.30327053451578534,-0.16250999667331087,2.3984100456999324
large,none,dn10,green,20,target15,3548,0.6465614430665163,0.040174937645882446,0.1121009580426427,-0.09140264671629299,2.3930237945933017
small,above50+rs,dn5,green,20,time,2445,0.5210633946830265,0.04834682026212034,0.21475845065782873,-0.13270221229478182,2.390602381623562
small,none,vwap,green,20,time,12299,0.5731360273192943,0.021472350235503233,0.09383936936762254,-0.07569243411922229,2.381302034853955
large,none,dn8,green,20,target10,4984,0.6948234349919743,0.03370885507036878,0.08487320620847356,-0.08278170902644706,2.3797592231595943
mid,none,dn15,volexp,2,time,1093,0.5169258920402562,0.07197046413865375,0.21041990835987526,-0.07618092977231249,2.379383164857699
small,above21,dn5,green,5,trail5,3289,0.6658558832471876,0.04142063688726635,0.07359479518000739,-0.02269347290445602,2.375465400236915
small,above21,dn5,green,10,trail5,3330,0.6591591591591591,0.041129610716559864,0.07434155619313539,-0.023099658288799837,2.3734315753201876
mid,none,dn10,green,5,target15,7240,0.6251381215469614,0.02779928439766458,0.08026505808752749,-0.05969522250002132,2.3653907800363556
mid,none,vwap,green,20,target10,12264,0.6546803652968036,0.02130715326306092,0.06912758133111044,-0.0693540549915718,2.359616914686187
small,above21,dn5,green,2,time,3092,0.6691461836998707,0.042295382743455935,0.08501013353855301,-0.04409447003763481,2.351866694601654
mid,none,dn8,volexp,20,trail5,2607,0.45301112389719983,0.04595599412346876,0.14431815973367584,-0.035506640929584915,2.3464574368714857
small,above21,dn5,green,20,trail5,3344,0.6492224880382775,0.04044117802133037,0.07485215013057697,-0.023246989454521597,2.338605313834255
large,none,dn5,green,10,target15,8832,0.6294157608695652,0.024882976817781732,0.07528844394365986,-0.060727775321771114,2.338470335902419
mid,none,dn8,volexp,10,trail5,2601,0.4590542099192618,0.045790629339382535,0.14168217444328718,-0.03558428526904828,2.3353220963085093
small,above21,dn8,green,10,time,1428,0.5399159663865546,0.06174977240514186,0.216999198486289,-0.12043791025629566,2.3334551874634273
mid,none,dn8,green,5,target10,9533,0.6512115808245044,0.0237597946781489,0.06682915291554153,-0.0566536116189138,2.3198370478824386
